adm1_code,event_count,mean_flooded_population,mean_flooded_area,mean_flooded_area_norm
272.0,28,13.587193992000001,1.7243767988000003,0.003970973399999999
273.0,21,2.186776895,0.101685979,0.000493451
274.0,23,3.715566566,0.050326772,0.000282469
275.0,16,576.1913462499999,15.2160150295,0.090760569
276.0,8,,,
277.0,12,415.22786554000004,116.20256440166666,0.23660619500000002
278.0,23,32.52643826,0.7688600056666667,0.0037204763333333335
279.0,15,464.20695615479997,31.023877182400003,0.14311344799999998
280.0,21,6.578378333250001,0.32225172199999996,0.0008703130000000001
281.0,11,321.910486506,7.954281383,0.0133182768
282.0,26,723.9311569240001,44.66256473039999,0.0821004964
283.0,8,38.4299705605,1.8491257245,0.016648261
284.0,12,4142.0430375,1.5080696249999999,0.032370209
285.0,14,135.0640055145,9.3474053385,0.017268966333333333
286.0,13,26.56426599,0.255364173,0.013562529
287.0,14,172.3325475,1.661728673,0.038771007
288.0,19,25.440254574000004,0.47358710233333334,0.009768197666666667
289.0,17,2419.078097,25.88623214,0.327341102
290.0,20,90.65944478,0.7495094409999999,0.019531296
291.0,12,24.00129177,0.361782597,0.008225304
292.0,31,128.9876546472,0.6259825726,0.008495248
293.0,10,161.199067383,294.89559914,0.7267516082500001
294.0,13,0.7304149990000001,0.08403877633333334,0.0009349153333333333
295.0,11,7.2928667035,0.078260995,0.00041022599999999997
296.0,15,69.29467936500001,0.5163088415,0.009777106
298.0,12,,,
299.0,15,0.9338465859999999,0.06775773766666666,0.00044418733333333334
300.0,23,20.286415265000002,0.2479458545,0.002011638
302.0,13,5.812708915,0.051297063000000004,0.00048454849999999996
303.0,7,28.4319476025,1.9054297495,0.0109827405
305.0,5,,,
306.0,2,,,
307.0,1,,,
308.0,2,19.73153811,0.659458426,0.139721375
309.0,2,,,
310.0,5,,,
311.0,3,,,
312.0,6,2350.439968,33.92832387,4.266840007
313.0,9,212.7144219,1.710701212,0.144073238
314.0,5,242.7836217,7.040449224,0.950998481
315.0,4,,,
316.0,2,,,
317.0,2,3.124338251,1.328867223,0.154010951
318.0,2,,,
319.0,6,,,
320.0,5,,,
321.0,4,,,
322.0,5,,,
323.0,8,,,
324.0,3,,,
325.0,3,,,
326.0,7,,,
327.0,1,,,
328.0,3,,,
329.0,5,,,
330.0,3,,,
331.0,8,,,
333.0,5,,,
334.0,3,,,
335.0,12,5479.033989,7.01174802,0.518246938
336.0,5,,,
337.0,7,,,
338.0,7,6.720843327,0.279498875,0.022725876
339.0,2,,,
340.0,6,,,
341.0,4,,,
342.0,2,,,
343.0,1,,,
344.0,7,,,
345.0,3,,,
346.0,3,,,
347.0,1,117.6952845,21.99158651,0.01370815
348.0,3,,,
349.0,3,,,
350.0,6,,,
351.0,1,,,
352.0,1,,,
353.0,7,,,
354.0,4,,,
355.0,1,,,
356.0,1,,,
357.0,5,2.05988317,0.154274034,0.000215174
360.0,3,,,
362.0,2,,,
363.0,2,,,
364.0,2,,,
365.0,2,,,
366.0,2,,,
367.0,3,,,
368.0,1,,,
369.0,2,,,
370.0,5,,,
371.0,3,3.043826044,0.20763994,0.00070104
372.0,7,,,
373.0,1,,,
374.0,1,,,
375.0,3,,,
376.0,3,,,
377.0,2,,,
378.0,2,,,
379.0,1,,,
380.0,1,,,
381.0,4,0.368406463,1.690195503,0.000280214
382.0,4,,,
383.0,3,,,
384.0,3,26.66805099,3.118702412,0.015503374
385.0,4,,,
386.0,1,,,
387.0,9,,,
388.0,6,,,
389.0,1,,,
398.0,7,,,
399.0,23,239.59809431992306,3.8747089696923074,0.00985108446153846
400.0,19,354.9755083876,24.2047019237,0.033555419
401.0,2,,,
402.0,22,1549.4276781,335.60369953,0.168405262
403.0,18,1920.2556087083333,152.8552039775,0.2769854978333333
404.0,9,12872.54158,747.6375263,0.968465968
405.0,27,600.1099274229999,8.581753129333334,0.02586326116666667
406.0,9,5.391965452,0.30034164,0.000381518
407.0,22,71.43991281338461,5.420774934230769,0.02817117692307692
408.0,36,18242.0375708375,5.633607368374999,0.20953445112500002
409.0,17,799.5507053823845,117.08651451153847,0.10836906484615384
410.0,20,428.37812348141665,100.3285186195,0.12889275575
411.0,30,1770.2788569066665,218.95703894,0.2662263132
412.0,16,18862.96201,6445.812319000001,3.224628472
413.0,17,13.719911450230768,2.5438072059230765,0.004404510153846153
414.0,23,83.47659597009999,8.208755829400001,0.013213830400000001
415.0,18,137.28093807425,11.00190954625,0.030420919916666664
429.0,22,,,
430.0,5,,,
431.0,6,,,
432.0,10,,,
433.0,6,,,
434.0,16,,,
435.0,14,2936.24993125,327.495610491,0.3663917965
436.0,18,7209.559446,658.1494123,0.845756942
437.0,11,3518.0100595,698.8127073999999,0.925922013
438.0,5,407.8857176,151.6632948,0.2841386005
439.0,7,,,
440.0,3,,,
441.0,2,,,
442.0,3,,,
443.0,5,,,
444.0,5,404.8899233,265.358912,0.130555181
445.0,16,250.22113729999998,82.88991469999999,0.0534657475
446.0,2,,,
447.0,1,,,
448.0,2,,,
449.0,24,,,
450.0,11,,,
452.0,9,,,
453.0,1,,,
454.0,1,,,
455.0,1,,,
456.0,1,,,
458.0,1,,,
462.0,2,,,
470.0,45,2825.768163633333,620.3316552333334,0.07746655233333333
471.0,3,2.660727309,503.6955658,0.037360871
473.0,41,2556.028611,3733.3213469,0.21580460533333334
474.0,3,62.15571308,42.20528979,0.004288332
475.0,1,,,
476.0,11,17.84110079,87.80357832,0.038595688
477.0,2,,,
478.0,2,,,
479.0,2,,,
480.0,6,,,
481.0,6,,,
482.0,5,,,
483.0,4,,,
484.0,4,,,
485.0,4,,,
486.0,3,,,
561.0,1,,,
575.0,10,45588.520347,49.985431869500005,0.4648841205
576.0,46,709631.2628609,592.6118876707,1.9112501689999999
577.0,43,2409091.6816251646,2563.074125512071,8.285474997357143
578.0,18,602929.003025,777.83436615,3.801779922
580.0,39,2689552.416672083,3329.80482416975,27.13552109591667
593.0,2,,,
594.0,4,,,
595.0,4,,,
596.0,4,,,
597.0,2,,,
598.0,2,,,
599.0,2,,,
600.0,3,,,
601.0,7,42669.20631,46.84884653,0.346776438
602.0,7,,,
603.0,3,,,
604.0,2,,,
605.0,3,,,
606.0,3,,,
609.0,16,1232.63482694,36.4488620082,0.1354759938
610.0,3,551.379794974,40.215035599000004,0.1940226575
611.0,14,20206.6359767,26.267202512125,0.874506303125
612.0,10,4.751566714,0.122093505,0.000476884
613.0,10,24.71977886566667,0.7171311810000001,0.0051172836666666666
614.0,8,274.03719315,0.8632033365,0.035953464500000004
615.0,3,,,
616.0,14,2339.125542715,0.18511306825,0.32469848
617.0,15,1671.8870505444445,5.7381797269999995,0.3645003746666667
618.0,12,10742.852415645,24.466789509749997,1.9187153364999998
619.0,8,,,
620.0,13,2751.091396062,22.4266043072,0.4243234406
623.0,1,,,
625.0,1,,,
627.0,2,,,
628.0,2,,,
635.0,3,,,
636.0,2,,,
637.0,2,,,
648.0,34,58.1446898856923,27.20952034823077,0.04257056069230769
652.0,17,2599.1527277,43.449768525,0.162962255
653.0,18,1595.893917705,27.548255550500002,0.1125204785
654.0,8,,,
655.0,6,389.42275975,122.7044837,0.585363477
657.0,1,,,
658.0,1,,,
659.0,4,,,
660.0,11,668.37004515,591.4682455,0.530637119
661.0,1,,,
662.0,1,,,
663.0,1,,,
665.0,6,,,
666.0,13,8244.671697,38.120044433333334,0.13707946499999998
667.0,1,1.936071249,85.61380577,0.060924582
668.0,8,,,
669.0,17,8976.4860345,321.116364,0.05700672
670.0,9,4993.084184666666,265.705364,0.18052927900000001
671.0,1,,,
672.0,22,2486.536224284667,50.997488118166665,0.11086549783333333
674.0,8,15811.41704,384.7543055,0.117137707
675.0,2,,,
676.0,3,,,
677.0,27,5687.531064375,583.70906785,0.09951595
678.0,9,,,
679.0,7,,,
680.0,8,3990.683687,228.6335903,0.11513218
681.0,20,17386.395529999998,359.59566743333335,0.36507518533333333
682.0,10,2809.1445240333337,166.50822135,0.06591339066666667
683.0,40,6379.244317923454,61.073863089363634,0.1396192290909091
684.0,5,,,
685.0,21,52157.04931733333,3247.4972439,1.1940868253333334
686.0,2,1168.4356608,637.5061743499999,0.2680496675
688.0,20,14484.193355000001,288.32966332499996,0.3033460065
689.0,27,15280.222638857143,847.4283135857142,0.34168300271428576
